sub_id,x,y,t,trial_id
052212_2,NA,NA,0,1
052212_2,NA,NA,50.06,1
052212_2,NA,NA,100.17,1
052212_2,NA,NA,150.143,1
052212_2,NA,NA,200.223,1
052212_2,NA,NA,250.11,1
052212_2,NA,NA,300.171,1
052212_2,NA,NA,350.851,1
052212_2,NA,NA,400.282,1
052212_2,NA,NA,450.857,1
052212_2,NA,NA,500.263,1
052212_2,NA,NA,550.229,1
052212_2,NA,NA,600.408,1
052212_2,NA,NA,650.731,1
052212_2,NA,NA,700.434,1
052212_2,NA,NA,750.459,1
052212_2,NA,NA,800.492,1
052212_2,NA,NA,851.097,1
052212_2,NA,NA,900.563,1
052212_2,NA,NA,950.478,1
052212_2,NA,NA,1000.509,1
052212_2,NA,NA,1050.799,1
052212_2,NA,NA,1100.845,1
052212_2,NA,NA,1150.675,1
052212_2,NA,NA,1200.683,1
052212_2,NA,NA,1250.73,1
052212_2,NA,NA,1300.748,1
052212_2,NA,NA,1350.749,1
052212_2,NA,NA,1400.816,1
052212_2,NA,NA,1450.799,1
052212_2,NA,NA,1500.856,1
052212_2,NA,NA,1551.022,1
052212_2,NA,NA,1600.844,1
052212_2,NA,NA,1650.978,1
052212_2,NA,NA,1701.136,1
052212_2,NA,NA,1751.09,1
052212_2,NA,NA,1801.105,1
052212_2,NA,NA,1851.12,1
052212_2,NA,NA,1901.087,1
052212_2,NA,NA,1951.233,1
052212_2,NA,NA,2001.066,1
052212_2,NA,NA,2051.163,1
052212_2,NA,NA,2101.184,1
052212_2,NA,NA,2151.235,1
052212_2,NA,NA,2201.339,1
052212_2,NA,NA,2251.179,1
052212_2,NA,NA,2301.278,1
052212_2,NA,NA,2351.373,1
052212_2,NA,NA,2401.285,1
052212_2,NA,NA,2451.391,1
052212_2,NA,NA,2501.256,1
052212_2,NA,NA,2551.528,1
052212_2,NA,NA,2601.945,1
052212_2,NA,NA,2651.383,1
052212_2,NA,NA,2701.431,1
052212_2,NA,NA,2751.548,1
052212_2,NA,NA,2801.573,1
052212_2,NA,NA,2852.055,1
052212_2,NA,NA,2901.557,1
052212_2,NA,NA,2952.1,1
052212_2,NA,NA,3001.581,1
052212_2,NA,NA,3051.686,1
052212_2,NA,NA,3101.677,1
052212_2,NA,NA,3151.656,1
052212_2,NA,NA,3201.625,1
052212_2,NA,NA,3251.67,1
052212_2,NA,NA,3301.749,1
052212_2,NA,NA,3351.914,1
052212_2,NA,NA,3401.739,1
052212_2,NA,NA,3452.253,1
052212_2,NA,NA,3501.781,1
052212_2,NA,NA,3551.888,1
052212_2,NA,NA,3601.875,1
052212_2,NA,NA,3651.927,1
052212_2,NA,NA,3701.874,1
052212_2,NA,NA,3751.988,1
052212_2,NA,NA,3802.089,1
052212_2,NA,NA,3852.078,1
052212_2,NA,NA,3902.024,1
052212_2,NA,NA,3952.101,1
052212_2,NA,NA,4002.028,1
052212_2,NA,NA,4052.08,1
052212_2,NA,NA,4102.127,1
052212_2,NA,NA,4152.219,1
052212_2,NA,NA,4202.353,1
052212_2,NA,NA,4252.313,1
052212_2,NA,NA,4302.276,1
052212_2,NA,NA,4352.454,1
052212_2,NA,NA,4402.288,1
052212_2,NA,NA,4452.426,1
052212_2,NA,NA,4502.238,1
052212_2,NA,NA,4552.469,1
052212_2,NA,NA,4602.527,1
052212_2,NA,NA,4652.385,1
052212_2,NA,NA,4702.38,1
052212_2,NA,NA,4752.399,1
052212_2,NA,NA,4802.511,1
052212_2,NA,NA,4852.512,1
052212_2,NA,NA,4902.51,1
052212_2,NA,NA,4952.517,1
052212_2,NA,NA,5002.459,1
052212_2,NA,NA,5052.587,1
052212_2,NA,NA,5102.652,1
052212_2,NA,NA,5152.686,1
052212_2,NA,NA,5202.623,1
052212_2,NA,NA,5252.631,1
052212_2,NA,NA,5302.714,1
052212_2,NA,NA,5352.885,1
052212_2,NA,NA,5402.744,1
052212_2,NA,NA,5452.796,1
052212_2,NA,NA,5502.781,1
052212_2,NA,NA,5552.871,1
052212_2,NA,NA,5602.859,1
052212_2,NA,NA,5652.913,1
052212_2,NA,NA,5702.845,1
052212_2,NA,NA,5753.064,1
052212_2,NA,NA,5803.023,1
